0.0	8.0	7.7	11.7	4.4	7.9	13.1	9.1	2.7	6.1	4.5	17.2	24.9	6.0	13.0	8.5	12.4	5.8	7.8	18.3
11.0	0.0	4.8	4.5	4.4	2.6	4.7	2.3	2.9	5.9	8.2	6.0	11.9	5.8	5.4	5.5	3.1	3.3	9.0	16.1
7.4	4.1	0.0	8.4	11.3	3.9	10.9	1.9	3.9	3.5	7.1	7.3	8.1	1.3	4.7	5.7	7.3	3.0	2.9	6.2
15.6	4.4	9.6	0.0	6.8	1.5	3.2	5.8	4.9	5.5	20.3	2.1	3.9	9.0	5.2	5.5	8.0	6.7	7.5	9.6
8.5	8.9	10.0	6.6	0.0	4.5	7.5	7.5	8.4	17.7	13.7	12.9	9.7	8.4	7.2	15.2	7.7	13.8	19.9	15.8
11.0	2.0	8.5	0.7	7.4	0.0	2.3	4.5	8.3	5.8	15.9	3.1	7.5	10.1	2.7	9.4	2.6	9.8	11.1	9.3
8.0	5.1	9.4	3.6	8.5	4.3	0.0	7.1	5.8	6.6	11.9	2.5	12.1	17.2	5.5	13.2	4.4	6.4	8.8	11.2
10.3	2.3	4.4	6.0	5.0	3.9	7.6	0.0	5.3	7.3	8.1	7.3	7.8	4.7	3.2	9.0	2.8	4.4	9.4	11.4
6.9	4.9	3.4	9.0	8.2	9.5	9.5	3.8	0.0	10.7	8.7	5.1	14.5	8.3	10.4	5.0	9.1	3.3	9.0	9.5
10.8	7.9	2.2	7.1	8.1	10.3	10.5	5.9	10.5	0.0	5.3	13.2	6.8	1.6	2.9	1.7	6.3	4.9	1.5	3.8
5.7	14.8	8.2	9.0	10.3	14.1	23.7	9.1	6.7	7.0	0.0	8.8	11.1	9.2	11.9	5.2	16.8	5.5	10.0	8.1
18.3	6.3	9.4	1.2	9.7	3.2	3.0	3.2	11.0	13.5	14.4	0.0	5.5	10.4	7.0	13.1	5.2	12.1	15.0	17.7
21.2	12.3	10.8	7.2	7.3	7.6	12.5	7.1	11.2	5.1	12.0	5.7	0.0	8.3	8.3	12.2	3.9	12.8	11.3	17.0
7.5	9.9	3.9	9.0	9.2	7.9	7.5	7.2	5.7	1.1	8.9	9.8	7.6	0.0	6.1	2.1	4.2	3.6	0.8	6.1
7.2	3.5	3.6	7.0	10.7	3.0	4.5	2.4	7.7	5.3	12.6	3.0	4.7	5.5	0.0	3.4	1.5	3.6	2.9	6.7
7.4	6.3	6.0	8.0	19.2	5.7	16.6	5.6	6.2	1.0	5.8	12.0	8.7	1.8	5.9	0.0	5.0	3.4	0.7	5.8
8.1	7.1	7.9	3.4	10.2	3.1	8.9	4.5	9.9	7.4	10.7	4.4	4.8	6.0	1.2	6.9	0.0	7.6	3.7	5.6
5.1	3.4	1.8	13.7	8.5	7.2	13.2	7.4	3.4	3.6	3.9	7.2	7.1	3.0	3.2	3.2	8.2	0.0	4.2	6.1
8.8	8.6	4.7	15.1	16.7	11.9	14.8	5.0	5.6	0.9	10.0	13.1	9.9	0.8	2.7	1.2	4.5	3.0	0.0	7.1
11.7	8.0	12.2	13.9	27.5	11.3	24.7	12.5	16.8	9.1	6.5	10.7	7.5	9.1	13.5	4.8	9.4	9.3	6.8	0.0
