0.0	5.2	6.9	7.4	6.7	2.6	3.7	2.9	2.4	9.7	4.6	12.0	6.1	6.5	8.8	9.4	2.5	3.3	5.5	0.8	1.5	3.3	2.9	12.2	9.8	8.8	7.2	2.8	1.8	6.0
6.4	0.0	17.6	5.1	1.7	10.3	12.7	11.4	8.6	5.8	7.1	13.5	10.4	3.3	9.8	12.3	3.5	4.6	8.9	2.2	7.2	5.8	8.4	11.8	9.1	10.0	5.6	4.7	3.4	6.6
9.1	16.6	0.0	9.6	11.4	7.7	6.6	8.3	5.0	7.9	12.3	18.5	8.4	9.6	6.0	4.3	8.3	6.0	3.7	10.1	10.1	20.2	10.7	8.7	7.2	20.8	10.3	11.5	19.9	15.5
9.7	9.4	6.1	0.0	7.8	11.5	3.9	2.5	8.9	0.2	19.4	13.2	13.7	7.1	4.3	12.3	2.7	6.5	11.6	5.2	12.7	14.1	15.3	18.1	18.8	13.0	12.8	12.7	14.7	5.8
7.5	2.9	11.1	5.1	0.0	11.1	5.8	8.0	11.2	11.6	11.4	20.0	11.5	4.0	12.1	14.8	6.6	5.3	7.9	3.6	10.7	3.5	7.7	17.6	22.5	13.0	7.9	8.3	3.1	5.3
4.4	9.1	6.2	12.1	13.0	0.0	6.1	6.3	6.8	15.0	5.7	5.8	4.5	11.5	7.2	8.8	5.9	3.0	5.7	2.6	3.3	3.0	0.2	4.4	3.2	3.9	2.0	1.3	4.2	0.4
5.8	6.2	5.1	8.0	12.3	3.9	0.0	3.6	4.0	5.0	8.3	10.7	3.5	5.9	2.6	2.2	3.5	5.1	2.6	5.8	7.4	8.7	6.5	7.0	9.4	5.9	2.6	6.2	6.4	4.6
8.2	4.3	10.6	2.5	9.1	5.5	7.9	0.0	2.5	3.8	12.9	14.9	12.2	2.7	1.9	9.2	2.4	4.8	9.7	3.8	7.8	7.2	5.9	16.1	17.4	13.4	10.1	13.2	5.2	9.7
1.9	10.7	9.8	7.0	6.1	5.0	3.1	4.9	0.0	7.9	10.8	8.2	8.5	4.1	4.6	6.4	2.3	1.8	2.5	2.7	3.3	7.5	6.8	9.1	10.7	7.7	4.4	6.8	6.3	5.2
7.9	12.5	9.3	0.5	11.7	9.5	8.4	1.8	6.6	0.0	17.1	15.2	7.6	6.6	4.6	11.8	5.2	11.0	8.3	4.7	9.0	9.8	7.9	16.2	21.8	8.5	9.3	9.5	6.2	9.0
5.8	4.0	11.1	15.7	12.4	7.3	13.8	9.4	9.9	12.8	0.0	10.3	15.0	12.2	17.6	7.5	9.7	9.3	6.1	8.2	3.6	5.2	4.4	10.9	5.5	1.4	6.0	3.3	4.1	6.9
11.2	10.2	13.2	10.3	9.3	6.4	9.2	18.0	10.2	9.2	4.0	0.0	11.1	13.1	8.3	5.3	11.3	9.3	5.1	11.5	7.1	8.7	4.3	3.8	5.1	3.7	7.1	5.4	8.2	5.5
12.7	7.5	3.3	13.2	17.3	4.6	2.6	7.1	9.5	9.8	12.9	10.5	0.0	9.9	9.3	1.7	5.9	6.8	2.1	10.8	11.3	12.7	4.0	2.9	4.0	16.3	5.1	7.5	8.3	7.0
7.3	3.9	8.7	6.5	1.9	6.7	8.7	3.5	6.0	5.3	15.6	22.5	16.6	0.0	7.9	14.1	2.7	7.4	6.1	3.2	4.1	5.6	4.9	20.0	11.2	12.5	9.4	8.4	4.6	14.2
