0	37	93	99	53	62	33	19	49	39	81	34	55	42	24	77	90	99	41	71	51	17	67	21	64	36	15	63	74	64
96	0	60	70	39	75	80	91	94	64	91	26	89	82	60	34	75	16	33	90	69	12	64	25	24	62	35	55	42	55
65	66	0	37	15	88	62	53	42	27	98	65	91	83	27	98	89	18	15	51	27	68	16	58	19	77	24	77	49	34
31	36	19	0	29	60	92	28	65	36	44	41	32	74	80	24	79	10	68	80	24	96	97	84	25	28	15	72	46	96
17	44	86	92	0	65	22	94	86	78	75	36	24	78	78	47	23	67	19	89	14	14	89	63	52	67	50	79	48	49
22	39	67	22	18	0	44	44	69	93	44	76	55	42	55	81	46	92	37	95	84	57	76	65	48	95	82	71	45	15
59	37	56	81	41	95	0	51	67	83	17	98	89	64	49	95	95	12	53	17	14	42	76	13	84	83	49	37	57	38
53	80	85	58	98	74	28	0	63	29	30	54	26	56	11	92	23	21	92	76	52	50	33	21	67	23	86	62	30	90
48	84	60	24	85	88	64	48	0	90	77	64	98	79	88	56	43	45	100	75	46	50	38	68	12	71	18	97	64	67
10	98	58	53	40	38	84	76	38	0	78	30	74	91	50	52	14	27	71	83	42	62	86	47	24	95	36	36	12	51
76	84	40	48	34	58	74	59	59	57	0	40	30	25	98	65	53	63	95	47	89	91	77	85	67	80	12	89	77	77
61	100	53	23	89	86	33	40	51	13	71	0	99	85	92	44	64	37	36	62	84	15	18	97	75	64	13	78	60	71
90	38	17	81	89	71	76	95	67	74	75	57	0	49	37	97	64	27	13	21	73	29	44	72	62	35	56	43	44	13
17	67	78	57	24	76	58	87	59	59	58	98	60	0	31	77	76	73	13	59	70	82	72	77	33	95	66	74	12	95
48	27	22	70	92	19	99	57	12	94	74	94	19	70	0	98	76	96	83	20	38	32	70	74	65	14	10	74	28	67
40	60	45	93	17	17	44	52	96	58	36	52	79	37	92	0	87	31	60	90	99	50	87	23	21	49	86	30	70	95
51	83	24	57	73	54	51	89	65	55	65	23	33	73	40	94	0	67	70	40	79	47	30	37	55	78	27	94	84	41
63	35	93	81	18	60	36	87	48	17	51	73	71	56	26	18	95	0	37	73	14	18	26	36	73	23	63	12	72	48
61	95	27	95	28	81	53	61	42	17	29	48	90	55	46	63	67	36	0	84	53	61	74	64	87	48	36	31	95	29
85	32	92	91	98	51	85	40	78	77	87	47	93	60	71	27	35	24	40	0	52	80	80	75	83	47	15	88	79	15
66	10	98	36	96	18	46	94	70	89	49	61	85	100	79	38	14	35	62	51	0	94	96	77	21	27	53	25	51	10
71	42	16	65	79	98	85	70	77	96	93	24	37	42	93	91	88	22	21	22	53	0	33	26	76	81	69	38	63	71
44	35	47	98	28	30	68	36	16	89	15	29	80	34	43	75	64	78	31	98	80	30	0	74	64	75	71	91	14	31
50	49	83	22	29	97	47	79	21	87	55	56	76	44	56	26	27	89	60	49	66	73	36	0	88	51	92	92	14	98
76	25	67	32	45	54	53	33	26	16	53	93	82	46	88	47	11	37	43	73	17	24	80	50	0	64	78	64	82	71
58	93	74	41	61	42	65	53	49	51	95	94	48	56	73	14	47	42	76	40	51	83	66	67	42	0	57	86	72	28
26	62	18	51	23	74	68	75	86	59	54	95	28	79	22	37	65	37	30	36	39	26	22	70	14	38	0	70	92	77
87	84	17	23	81	77	70	88	83	84	59	26	50	15	34	53	98	38	34	65	40	98	36	67	43	57	68	0	97	11
36	20	40	15	14	75	47	15	62	71	25	70	24	58	28	65	87	50	70	91	24	75	11	43	51	96	62	72	0	68
36	49	98	68	56	50	22	24	15	54	25	12	32	70	62	51	45	54	92	81	89	75	19	91	93	21	88	79	62	0
