0	0	10	157.0
0	10	0	173.4
0	10	19	122.0
0	12	19	152.4
0	19	10	258.4
0	19	12	79.0
1	0	8	202.5
1	8	0	152.1
2	2	8	454.3
2	2	13	1444.0
2	4	8	376.3
2	8	2	520.0
2	8	4	476.5
2	13	2	1033.9
2	13	15	1065.0
2	15	13	573.9
2	15	19	651.7
2	19	15	165.2
3	1	7	606.9
3	1	8	721.4
3	2	7	927.6
3	2	13	1283.8
3	4	8	540.7
3	7	1	888.0
3	7	2	428.5
3	8	1	469.3
3	8	4	720.5
3	13	2	1305.8
3	13	19	471.3
3	19	13	579.8
4	1	3	1053.9
4	1	8	803.6
4	3	1	1366.5
4	3	11	1043.9
4	8	1	540.2
4	11	3	933.5
4	11	12	427.9
4	12	11	437.5
4	12	18	69.7
4	18	12	144.2
5	1	2	805.7
5	1	6	976.0
5	2	1	825.5
5	2	17	722.2
5	6	1	1210.0
5	10	17	494.3
5	17	2	818.8
5	17	10	262.7
6	0	8	627.5
6	2	8	844.1
6	2	14	1492.8
6	8	0	838.5
6	8	2	780.2
6	12	16	342.1
6	14	2	1745.1
6	14	16	1077.0
6	16	12	360.0
6	16	14	1276.1
7	2	7	639.1
7	2	17	991.8
7	3	5	739.0
7	5	3	815.0
7	5	7	1145.0
7	7	2	1106.8
7	7	5	1134.0
7	10	17	689.7
7	17	2	1147.2
7	17	10	348.3
8	2	8	152.2
8	2	14	746.2
8	8	2	259.2
8	11	14	573.0
8	14	2	778.0
8	14	11	595.0
9	2	7	395.2
9	2	13	998.3
9	7	2	242.6
9	12	18	88.3
9	13	2	796.3
9	13	18	606.5
9	18	12	257.0
9	18	13	520.6
10	9	13	1032.7
10	9	18	600.5
10	13	9	1380.5
10	15	18	190.3
10	18	9	456.7
10	18	15	408.8
