0	48	44	73	46	45	91	90	16	78	33	28	91	83	88	16	94	96	15	65
35	0	28	47	96	32	37	61	28	53	66	37	43	87	25	42	41	88	98	59
56	91	0	26	49	16	99	61	54	70	19	56	69	17	22	58	43	40	69	26
95	93	37	0	65	82	40	61	72	11	74	46	14	37	95	85	96	27	66	15
30	99	45	23	0	80	66	33	27	25	97	31	73	84	61	90	80	75	40	30
43	89	22	51	21	0	58	71	75	83	34	47	43	43	22	84	96	75	85	87
29	26	25	23	34	61	0	70	85	15	79	49	49	93	45	79	90	42	32	75
68	37	96	53	99	14	64	0	23	99	87	10	73	51	25	11	93	94	53	84
76	93	34	64	79	38	14	90	0	97	91	29	28	70	38	87	56	70	66	53
77	21	33	38	92	74	97	16	86	0	39	38	17	63	47	83	56	20	91	23
15	51	12	15	15	35	17	13	80	34	0	41	68	82	77	15	27	66	39	28
12	51	70	52	79	85	34	23	55	14	88	0	96	66	34	97	35	15	23	27
27	59	31	37	40	12	43	28	95	53	60	18	0	77	39	93	43	11	82	22
98	63	49	47	43	36	37	87	65	79	48	17	56	0	65	43	59	37	67	22
17	95	39	69	32	36	61	72	84	38	70	51	12	14	0	48	52	16	99	24
30	59	62	87	72	16	84	42	37	23	40	89	98	17	82	0	21	92	84	21
51	89	48	88	15	17	34	44	49	39	62	81	76	88	47	57	0	21	21	57
48	21	44	22	17	25	13	61	40	78	70	97	80	87	75	52	68	0	37	15
21	50	52	15	54	93	90	39	84	91	24	57	23	52	45	72	51	78	0	84
42	41	51	19	42	11	91	35	75	60	17	52	94	87	69	27	35	28	28	0
